onset	duration	trial_type	value	sample
20.29	0.09666633605957031	BAD_muscle	1	6087
24.913333333333334	0.026666641235351562	BAD_muscle	1	7474
29.23	0.10333442687988281	BAD_muscle	1	8769
34.72	0.043331146240234375	BAD_muscle	1	10416
35.39	0.08333206176757812	BAD_muscle	1	10617
39.656666666666666	0.0500030517578125	BAD_muscle	1	11897
40.97666666666667	0.09666824340820312	BAD_muscle	1	12293
47.63	0.1699981689453125	BAD_muscle	1	14289
65.14333333333333	0.12000274658203125	BAD_muscle	1	19543
66.79	0.11333465576171875	BAD_muscle	1	20037
67.45333333333333	0.08333587646484375	BAD_muscle	1	20236
67.76333333333334	0.18999481201171875	BAD_muscle	1	20329
73.22333333333333	0.15332794189453125	BAD_muscle	1	21967
77.31	0.086669921875	BAD_muscle	1	23193
78.96	0.15000152587890625	BAD_muscle	1	23688
80.16666666666667	0.10666656494140625	BAD_muscle	1	24050
81.90333333333334	0.21666717529296875	BAD_muscle	1	24571
82.98666666666666	0.06667327880859375	BAD_muscle	1	24896
83.84333333333333	0.22333526611328125	BAD_muscle	1	25153
86.64333333333333	0.14333343505859375	BAD_muscle	1	25993
88.36666666666666	0.15999603271484375	BAD_muscle	1	26510
91.55333333333333	0.14666748046875	BAD_muscle	1	27466
94.05	0.05999755859375	BAD_muscle	1	28215
119.59333333333333	0.11333465576171875	BAD_muscle	1	35878
121.81666666666666	0.35666656494140625	BAD_muscle	1	36545
122.42666666666666	0.2700042724609375	BAD_muscle	1	36728
126.00333333333333	0.08333587646484375	BAD_muscle	1	37801
146.3	0.1866607666015625	BAD_muscle	1	43890
149.28666666666666	0.1199951171875	BAD_muscle	1	44786
151.18	0.2066802978515625	BAD_muscle	1	45354
157.21666666666667	0.126678466796875	BAD_muscle	1	47165
158.15666666666667	0.0666656494140625	BAD_muscle	1	47447
158.42333333333335	0.0699920654296875	BAD_muscle	1	47527
173.84666666666666	0.2733306884765625	BAD_muscle	1	52154
190.03	0.160003662109375	BAD_muscle	1	57009
193.27333333333334	0.3166656494140625	BAD_muscle	1	57982
197.21666666666667	0.1300048828125	BAD_muscle	1	59165
198.70666666666668	0.0966644287109375	BAD_muscle	1	59612
202.25	0.07000732421875	BAD_muscle	1	60675
